年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
115,37,演唱類出版獎,年度專輯獎,開,何樂音樂有限公司,何樂音樂有限公司,演唱者：洪佩瑜
115,37,演唱類出版獎,年度專輯獎,OGS,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：頑童MJ116
115,37,演唱類出版獎,年度專輯獎,跟著感覺走,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類出版獎,年度專輯獎,Pleasure,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林
115,37,演唱類出版獎,年度專輯獎,離開銀色荒原,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類出版獎,年度專輯獎,純妹妹,禾聲文化娛樂有限公司,禾聲文化娛樂有限公司,演唱者：單依純
115,37,演唱類出版獎,年度專輯獎,圓缺,邊走邊聽有限公司,邊走邊聽有限公司,演唱者：鄭宜農
115,37,演唱類出版獎,年度專輯獎,做一個惜情軟心的人,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蕭煌奇
115,37,演唱類出版獎,年度專輯獎,主題歌,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,演唱者：蘇明淵
115,37,演唱類出版獎,年度專輯獎,褪褲lān的兄弟,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：吳永吉
115,37,演唱類出版獎,年度專輯獎,我說,滾石移動股份有限公司,滾石移動股份有限公司,演唱者：CJ MiT
115,37,演唱類出版獎,年度專輯獎,南方的冬,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,演唱者：阿依·羅
115,37,演唱類出版獎,年度專輯獎,Final Girl,東城音樂製作有限公司,東城音樂製作有限公司,演唱者：ana
115,37,演唱類出版獎,年度專輯獎,下回上去,荒島文化有限公司,荒島文化有限公司,演唱者：春麵樂隊
115,37,演唱類出版獎,年度專輯獎,慢花誌,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：陳以諾
115,37,演唱類出版獎,年度專輯獎,Ngai,予浪創樂股份有限公司,予浪創樂股份有限公司,演唱者：黃宇寒
115,37,演唱類出版獎,年度專輯獎,Masonolay i Cepo',風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：漂流出口
115,37,演唱類出版獎,年度專輯獎,Saitikotiko,嗨島文化有限公司,嗨島文化有限公司,演唱者：高金龍 Lawis Aow
115,37,演唱類出版獎,年度專輯獎,AKA,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Arase 阿拉斯
115,37,演唱類出版獎,年度專輯獎,Mikerid 引路,米大創意有限公司,米大創意有限公司,演唱者：舒米恩
115,37,演唱類出版獎,年度專輯獎,djekuacan 年少不努力,十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,演唱者：Matzka
115,37,演唱類出版獎,年度專輯獎,"Same Stories, Different Narratives",落夢地股份有限公司,落夢地股份有限公司,演唱者：鶴 The Crane
115,37,演唱類出版獎,年度專輯獎,QUIT QUIETLY,夕陽音樂產業有限公司,夕陽音樂產業有限公司,演唱者：落日飛車
115,37,演唱類出版獎,年度歌曲獎,三菜一湯 In the Middle《普通活著 Daily Diner》,有趣的形狀工作室,有趣的形狀工作室,演唱者：楊世暄／作曲人：楊世暄／作詞人：楊世暄
115,37,演唱類出版獎,年度歌曲獎,浪人的...《跟著感覺走》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：張震嶽／作曲人：張震嶽／作詞人：張震嶽
115,37,演唱類出版獎,年度歌曲獎,Pleasure《Pleasure》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林／作曲人：蔡依林、Ross Golan、Richard Craker、王永良、Valentina Ploy／作詞人：蔡依林、Ross Golan、Richard Craker、王永良、Valentina Ploy
115,37,演唱類出版獎,年度歌曲獎,老翅膀《老翅膀》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,演唱者：陳小霞／作曲人：陳小霞／作詞人：姚若龍
115,37,演唱類出版獎,年度歌曲獎,如果每天都可以 happy happy 誰想要sad:))《如果每天都可以happy happy 誰想要sad:)) – 一起去度假》,顏社企業有限公司,顏社企業有限公司,演唱者：陳嫺靜／作曲人：陳嫺靜／作詞人：陳嫺靜
115,37,演唱類出版獎,年度歌曲獎,我的存在就是愛你《我的存在就是愛你》,百代唱片股份有限公司,百代唱片股份有限公司,演唱者：張惠妹／作曲人：Shawn尚融、呂尚霖、雅妮／作詞人：小寒
115,37,演唱類出版獎,年度歌曲獎,幸福在歌唱《幸福在歌唱（電影《陽光女子合唱團》幸福版主題曲）》,众悅娛樂有限公司,众悅娛樂有限公司,演唱者：A-Lin／作曲人：李方睿／作詞人：林孝謙
115,37,演唱類出版獎,最佳華語專輯獎,開,何樂音樂有限公司,何樂音樂有限公司,演唱者：洪佩瑜
115,37,演唱類出版獎,最佳華語專輯獎,OGS,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：頑童MJ116
115,37,演唱類出版獎,最佳華語專輯獎,跟著感覺走,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類出版獎,最佳華語專輯獎,Pleasure,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林
115,37,演唱類出版獎,最佳華語專輯獎,離開銀色荒原,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類出版獎,最佳華語專輯獎,純妹妹,禾聲文化娛樂有限公司,禾聲文化娛樂有限公司,演唱者：單依純
115,37,演唱類出版獎,最佳台語專輯獎,圓缺,邊走邊聽有限公司,邊走邊聽有限公司,演唱者：鄭宜農
115,37,演唱類出版獎,最佳台語專輯獎,做一個惜情軟心的人,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蕭煌奇
115,37,演唱類出版獎,最佳台語專輯獎,主題歌,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,演唱者：蘇明淵
115,37,演唱類出版獎,最佳台語專輯獎,褪褲lān的兄弟,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：吳永吉
115,37,演唱類出版獎,最佳台語專輯獎,我說,滾石移動股份有限公司,滾石移動股份有限公司,演唱者：CJ MiT
115,37,演唱類出版獎,最佳客語專輯獎,南方的冬,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,演唱者：阿依·羅
115,37,演唱類出版獎,最佳客語專輯獎,Final Girl,東城音樂製作有限公司,東城音樂製作有限公司,演唱者：ana
115,37,演唱類出版獎,最佳客語專輯獎,下回上去,荒島文化有限公司,荒島文化有限公司,演唱者：春麵樂隊
115,37,演唱類出版獎,最佳客語專輯獎,慢花誌,環球國際唱片股份有限公司,環球國際唱片股份有限公司,演唱者：陳以諾
115,37,演唱類出版獎,最佳客語專輯獎,Ngai,予浪創樂股份有限公司,予浪創樂股份有限公司,演唱者：黃宇寒
115,37,演唱類出版獎,最佳原住民語專輯獎,Masonolay i Cepo',風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：漂流出口
115,37,演唱類出版獎,最佳原住民語專輯獎,Saitikotiko 一次又一次,嗨島文化有限公司,嗨島文化有限公司,演唱者：高金龍 Lawis Aow
115,37,演唱類出版獎,最佳原住民語專輯獎,AKA,那屋瓦文化有限公司,那屋瓦文化有限公司,演唱者：Arase 阿拉斯
115,37,演唱類出版獎,最佳原住民語專輯獎,Mikerid 引路,米大創意有限公司,米大創意有限公司,演唱者：舒米恩
115,37,演唱類出版獎,最佳原住民語專輯獎,djekuacan 年少不努力,十一音像有限公司（十一音樂）,十一音像有限公司（十一音樂）,演唱者：Matzka
115,37,演唱類個人獎,最佳作曲人獎,大濛的暗眠,盧律銘,黑馬映像電影有限公司,演唱者：9m88
115,37,演唱類個人獎,最佳作曲人獎,你攏無咧看,蕭煌奇、滴燙 Diiton,華納國際音樂股份有限公司,演唱者：蕭煌奇
115,37,演唱類個人獎,最佳作曲人獎,浪人的...,張震嶽,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類個人獎,最佳作曲人獎,數到十,張簡君偉,華研國際音樂股份有限公司,演唱者：曾沛慈
115,37,演唱類個人獎,最佳作曲人獎,若無你我欲去佗位,黃奇斌,環球國際唱片股份有限公司,演唱者：黃奇斌
115,37,演唱類個人獎,最佳作曲人獎,銀色荒原,裘德,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳作詞人獎,媽媽的眼睛,張震嶽,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類個人獎,最佳作詞人獎,成人之美,小寒,台灣索尼音樂娛樂股份有限公司,演唱者：彭佳慧
115,37,演唱類個人獎,最佳作詞人獎,礦工兄弟,武雄,風潮音樂國際股份有限公司,演唱者：吳永吉
115,37,演唱類個人獎,最佳作詞人獎,WAR & LUV,黃立堯,夜間限定有限公司,演唱者：Gummy B
115,37,演唱類個人獎,最佳作詞人獎,銀色荒原,李格弟,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳編曲人獎,厭倦一個人旅行,翁光煒,伊丹有限公司,演唱者：aDAN薛詒丹
115,37,演唱類個人獎,最佳編曲人獎,FLAMES,周湯豪、Seann Bowe、韋恩林、Ruben Cardenas,環球國際唱片股份有限公司,演唱者：周湯豪
115,37,演唱類個人獎,最佳編曲人獎,DIY,陳星翰、鄭人豪、Morrison Ma、CYH、Richard Craker、Jackson Dimiglio-Wood,華納國際音樂股份有限公司,演唱者：蔡依林
