年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
115,37,演唱類出版獎,年度專輯獎,Pleasure,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林
115,37,演唱類出版獎,年度歌曲獎,幸福在歌唱《幸福在歌唱（電影《陽光女子合唱團》幸福版主題曲）》,众悅娛樂有限公司,众悅娛樂有限公司,演唱者：A-Lin／作曲人：李方睿／作詞人：林孝謙
115,37,演唱類出版獎,最佳華語專輯獎,跟著感覺走,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類出版獎,最佳台語專輯獎,做一個惜情軟心的人,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蕭煌奇
115,37,演唱類出版獎,最佳客語專輯獎,Ngai,予浪創樂股份有限公司,予浪創樂股份有限公司,演唱者：黃宇寒
115,37,演唱類出版獎,最佳原住民語專輯獎,Masonolay i Cepo',風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,演唱者：漂流出口
115,37,演唱類個人獎,最佳作曲人獎,浪人的...,張震嶽,滾石國際音樂股份有限公司,演唱者：張震嶽
115,37,演唱類個人獎,最佳作詞人獎,成人之美,小寒,台灣索尼音樂娛樂股份有限公司,演唱者：彭佳慧
115,37,演唱類個人獎,最佳編曲人獎,銀色荒原,裘德、崔展鴻,亞神音樂娛樂股份有限公司,演唱者：裘德
115,37,演唱類個人獎,最佳專輯製作人獎,純妹妹,常石磊,禾聲文化娛樂有限公司,演唱者：單依純
115,37,演唱類個人獎,最佳單曲製作人獎,FINAL FINAL FINAL《SWIRL》,ØZI、鶴 The Crane,華納國際音樂股份有限公司,演唱者：ØZI、Gummy B、鶴 The Crane
115,37,演唱類個人獎,最佳華語男歌手獎,跟著感覺走,張震嶽,滾石國際音樂股份有限公司,
115,37,演唱類個人獎,最佳華語女歌手獎,Pleasure,蔡依林,華納國際音樂股份有限公司,
115,37,演唱類個人獎,最佳台語男歌手獎,做一個惜情軟心的人,蕭煌奇,華納國際音樂股份有限公司,
115,37,演唱類個人獎,最佳台語女歌手獎,離婚初體驗,吳蓓雅,吳蓓雅工作室有限公司,
115,37,演唱類個人獎,最佳客語歌手獎,慢花誌,陳以諾,環球國際唱片股份有限公司,
115,37,演唱類個人獎,最佳原住民語歌手獎,Mikerid 引路,舒米恩,米大創意有限公司,
115,37,演唱類個人獎,最佳樂團獎,QUIT QUIETLY,落日飛車（羅尊龍、陳弘禮、王少軒、黃浩庭、曾國宏）,夕陽音樂產業有限公司,
115,37,演唱類個人獎,最佳演唱組合獎,MIRROR,GENBLUE（XXIN、媛媛、AYEON、Lili、Ayako、Nico）,天空娛樂,
115,37,演唱類個人獎,最佳新人獎,如果每天都可以happy happy 誰想要sad：* - 合作的秘密,陳嫺靜,顏社企業有限公司,
115,37,演奏類出版獎,演奏類最佳專輯獎,Over The Moons,種種可能企業有限公司,種種可能企業有限公司,演奏者：蘇郁涵
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,傳奇．雙擊--新視界,黃瑞豐、吳政君,麥丁文化事業有限公司,演奏者：黃瑞豐、吳政君
115,37,演奏類個人獎,演奏類最佳作曲人獎,Pieces Peace 碎碎平安,蘇郁涵,種種可能企業有限公司,演奏者：蘇郁涵、Alex LoRe、Anna Webber、Matt Mitchell、陳穎達、Marty Kenney、James Paul Nadien、Shinya Lin
115,37,技術類出版獎,最佳MV獎,Dumplings《我很抱歉》,何樂音樂有限公司,何樂音樂有限公司,導演：林宏叡
115,37,技術類出版獎,最佳演唱錄音專輯獎,Pleasure,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：王永鈞、陳文駿、Xavier Daniel、主要混音人員：Josh Gudwin、Jon Castelli、Phil Tan、主要母帶後製人員：Dale Becker／演唱者：蔡依林
115,37,技術類出版獎,最佳演奏錄音專輯獎,I Am Here,華納國際音樂股份有限公司,華納國際音樂股份有限公司,主要錄音人員：Vincent De Bast、主要混音人員：André Fernandes、主要母帶後製人員：André Fernandes／演奏者：陶璵（Taxodium）
115,37,技術類個人獎,最佳裝幀設計獎,SAX TAPE,吳建龍、亞歷三小、蔡偉群,夕陽音樂產業有限公司,
115,37,評審團獎,評審團獎,老翅膀,陳小霞,,
115,37,特別貢獻獎,特別貢獻獎,,屠穎,,
115,37,特別貢獻獎,特別貢獻獎,,林煌坤,,
