年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔公轉自轉〕,新力哥倫比亞音樂股份有限公司,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔樹枝孤鳥〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔I AM NOT A STAR〕,魔岩唱片股份有限公司,魔岩唱片股份有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔SHINO林曉培〕,友善的狗有限公司,友善的狗有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演唱唱片獎,〔每個女人〕,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演奏唱片獎,〔城市冥想〕,新代音樂有限公司（新力哥倫比亞音樂股份有限公司發行）,新代音樂有限公司（新力哥倫比亞音樂股份有限公司發行）
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演奏唱片獎,〔JAZZ WALK〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
88,10,流行音樂作品類．出版獎部分,最佳流行音樂演奏唱片獎,〔櫻花雨〕,風潮有聲出版有限公司,風潮有聲出版有限公司
88,10,流行音樂作品類．個人獎部分,最佳作曲人獎,不管有多苦,潘協慶,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作曲人獎,征服,袁惟仁,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作曲人獎,上弦月,方文良,福茂唱片音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作曲人獎,"寫一首歌APRIL 5, 1969",順子,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作曲人獎,煩,陳珊妮,友善的狗有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,臉,林夕,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,征服,袁惟仁,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,地下鐵,易家揚,台灣藝能動音股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,斷腸詩,伍佰,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,海上花,雷光夏,滾石國際音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳作詞人獎,吵架,李焯雄,滾石國際音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔肉餅飯糰〕,黃韻玲、黃建昌,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔公轉自轉〕,李振權、王力宏,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔唱遊〕,王菲、梁榮駿,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔I AM NOT A STAR〕,賈敏恕,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔SHINO林曉培〕,李士先,友善的狗有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔蒙娜麗莎的眼淚〕,林志炫,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔公轉自轉〕,王力宏,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔第一張精選輯〕,庾澄慶,新力哥倫比亞音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔甲乙丙丁〕,許志安,福茂唱片音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語男演唱人獎,〔我拿什麼愛你〕,齊秦,上華國際企業股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔起程〕,沈文程,金瓜石音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔吳宗憲的台語歌〕,吳宗憲,博德曼股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔文跡奇武〕,施文彬,神采製作有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔樹枝孤鳥〕,伍佰,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言男演唱人獎,〔山狗大〕,顏志文,友善的狗有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔唱遊〕,王菲,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔征服〕,那英,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔I AM NOT A STAR〕,順子,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔每個女人〕,辛曉琪,滾石國際音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳國語女演唱人獎,〔牽手〕,張惠妹,豐華唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔阮若想起〕,李靜美,上揚國際股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔認份〕,曾心梅,麗歌唱片廠股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔潔聲摯愛〕,陳盈潔,金瓜石音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔哎呦喂呀〕,張清芳,科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳方言女演唱人獎,〔感謝無情人〕,黃乙玲,上華國際企業股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳演唱組獎,〔READY TO FLY〕,兩個女生(楊孝芬、廖永其),科藝百代股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳演唱組獎,〔明天的明天的明天〕,動力火車(顏志琳、尤秋興 ),上華國際企業股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳演唱組獎,〔情比姊妹深〕,錦繡二重唱(黃錦雯、于秀琴),滾石國際音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳演唱組獎,〔三人行〕,無印良品(王光良、黃品冠),滾石國際音樂股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳演唱組獎,〔太陽戀愛了〕,南方二重唱(閻宗玉、林瑀芳-[明樺]),瑞星唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳新人獎,〔讓我想一想〕,陳綺貞,魔岩唱片股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳新人獎,〔跟蹤〕,阮丹青,上華國際企業股份有限公司
88,10,流行音樂作品類．個人獎部分,最佳新人獎,〔SHINO林曉培〕,林曉培,友善的狗有限公司
88,10,流行音樂作品類．個人獎部分,最佳新人獎,〔賞味期限〕,黃小楨,友善的狗有限公司
88,10,流行音樂作品類．個人獎部分,最佳新人獎,〔青睞〕,劉沁,滾石國際音樂股份有限公司
88,10,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔呂德小號協奏曲〕,友善的狗有限公司,友善的狗有限公司
88,10,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔林克昌指揮柴科夫斯基第四號交響曲〕,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
88,10,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔林克昌指揮柴科夫斯基第五號交響曲〕,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
88,10,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔台灣情　泰然心〕,家威影音實業有限公司,家威影音實業有限公司
88,10,非流行音樂作品類．出版獎部分,最佳古典音樂唱片獎,〔一九九八世界青年合唱團在台灣〕,家威影音實業有限公司,家威影音實業有限公司
88,10,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔彝族音樂－雲南少數民族音樂之一〕,搖籃唱片有限公司,搖籃唱片有限公司
88,10,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔鑼鼓迎新年〕,上揚國際股份有限公司,上揚國際股份有限公司
88,10,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔萬馬奔騰〕,任詩傑實業有限公司,任詩傑實業有限公司
88,10,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔平埔族音樂紀實系列〕,風潮有聲出版有限公司,風潮有聲出版有限公司
88,10,非流行音樂作品類．出版獎部分,最佳民族樂曲唱片獎,〔木蘭詞〕,國綸企業有限公司（國綸藝術企業有限公司發行）,國綸企業有限公司（國綸藝術企業有限公司發行）
88,10,非流行音樂作品類．出版獎部分,最佳口語說講唱片獎,〔邦查WAWA放暑假〕,大大樹音樂圖像（新力哥倫比亞音樂股份有限公司發行）,大大樹音樂圖像（新力哥倫比亞音樂股份有限公司發行）
88,10,非流行音樂作品類．出版獎部分,最佳口語說講唱片獎,〔天人之音－快樂王子〕,家威影音實業有限公司,家威影音實業有限公司
88,10,非流行音樂作品類．出版獎部分,最佳兒童樂曲（故事）唱片獎,〔火金姑〕,信誼基金出版社,信誼基金出版社
88,10,非流行音樂作品類．出版獎部分,最佳兒童樂曲（故事）唱片獎,〔紅田嬰〕,信誼基金出版社,信誼基金出版社
88,10,非流行音樂作品類．出版獎部分,最佳兒童樂曲（故事）唱片獎,〔李碧華聲記號－碧華的音樂課本〕,華納國際音樂股份有限公司,華納國際音樂股份有限公司
88,10,非流行音樂作品類．出版獎部分,最佳兒童樂曲（故事）唱片獎,〔西北雨〕,風潮有聲出版有限公司,風潮有聲出版有限公司
88,10,非流行音樂作品類．出版獎部分,最佳地方戲劇唱片獎,,從缺,
88,10,非流行音樂作品類．出版獎部分,最佳民俗曲藝唱片獎,,從缺,
88,10,非流行音樂作品類．個人獎部分,最佳作曲人獎,三首台灣民俗樂曲,郭芝苑,畫笛國際藝術文化事業有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作曲人獎,晨曦,馬水龍,畫笛國際藝術文化事業有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作曲人獎,悲歌,蕭泰然,家威影音實業有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作曲人獎,Ｄ調夜曲,蕭泰然,家威影音實業有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作詞人獎,夢一般的大海,愚溪,普音文化事業股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作詞人獎,嚴密睡蓮,愚溪,普音文化事業股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作詞人獎,月光古鏡,愚溪,普音文化事業股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳作詞人獎,光明之歌,愚溪,普音文化事業股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔平埔族音樂紀實系列〕,吳榮順,風潮有聲出版有限公司
88,10,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔林克昌指揮柴科夫斯基第四號交響曲〕,楊忠衡,滾石國際音樂股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔林克昌指揮柴科夫斯基第五號交響曲〕,楊忠衡,滾石國際音樂股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔一九九八世界青年合唱團在台灣〕,杜黑,財團法人台北愛樂文教基金會
88,10,非流行音樂作品類．個人獎部分,最佳唱片製作人獎,〔台灣情　泰然心〕,陳冠州,家威影音實業有限公司
88,10,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔火金姑〕,江欣子,信誼基金出版社
88,10,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔紅田嬰〕,江欣子,信誼基金出版社
88,10,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔CIRCLE OF LIFE生命之環〕,郭英男,魔岩唱片股份有限公司
88,10,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔西北雨〕,北京天使合唱團（楊秀蘭）,風潮有聲出版有限公司
88,10,非流行音樂作品類．個人獎部分,最佳演唱人獎,〔一九九八世界青年合唱團在台灣〕,一九九八世界青年合唱團（安德萊．托瑪斯）,財團法人台北愛樂文教基金會
88,10,非流行音樂作品類．個人獎部分,最佳演奏人獎,〔呂德小號協奏曲〕,葉樹涵,友善的狗有限公司
