年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
92,14,流行音樂作品類-出版獎,最佳流行音樂演唱專輯獎,special thanks to...,艾迴股份有限公司,艾迴股份有限公司,
92,14,流行音樂作品類-出版獎,最佳流行音樂演奏專輯獎,第33個街角轉彎,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,流行音樂作品類-出版獎,最佳音樂錄影帶獎,愛上你等於愛上寂寞《如今…》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,林錦和
92,14,流行音樂作品類-個人獎,最佳作曲人獎,愛《﹝i﹞》,陳曉娟,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳作詞人獎,愛《﹝i﹞》,李焯雄,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳編曲人獎,時間的滋味《雙陳故事》,陳志遠,豐華唱片股份有限公司,
92,14,流行音樂作品類-個人獎,最佳專輯製作人獎,野放客,劉劭希,傳響樂坊,
92,14,流行音樂作品類-個人獎,最佳國語男演唱人獎,special thanks to...,陳奕迅,艾迴股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語男演唱人獎,從缺,從缺,,
92,14,流行音樂作品類-個人獎,最佳國語女演唱人獎,﹝i﹞,莫文蔚,新力哥倫比亞音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳台語女演唱人獎,江蕙－紅線,江蕙,亞律音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳客語演唱人獎,野放客,劉劭希,傳響樂坊,
92,14,流行音樂作品類-個人獎,最佳原住民語演唱人獎,從缺,從缺,,
92,14,流行音樂作品類-個人獎,最佳樂團獎,閃靈樂團永劫輪迴,閃靈樂團,水晶唱片有限公司,
92,14,流行音樂作品類-個人獎,最佳重唱組合獎,美麗新世界,S.H.E,華研國際音樂股份有限公司,
92,14,流行音樂作品類-個人獎,最佳新人獎,快樂為主,許慧欣,上華國際企業股份有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,世紀歸零－現代台灣合唱經典,財團法人台北愛樂文教基金會,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,給我的父親－郭英男,高動力唱片有限公司,高動力唱片有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,台灣百年歌謠樂史彈唱見證,寰宇文化工作室,寰宇文化工作室,
92,14,傳統暨藝術音樂作品類-出版獎,最佳兒童樂曲專輯獎,Vu Vu的故事,風潮有聲出版有限公司,風潮有聲出版有限公司,
92,14,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,伊的疼惜,財團法人救世傳播協會天韻有聲出版社,財團法人救世傳播協會天韻有聲出版社,
92,14,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,同路人（詩說情．愛）,普飛數位錄音有限公司,普飛數位錄音有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,世紀歸零為環保而唱《世紀歸零－現代台灣合唱經典》,許雅民,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,不要說話《不要說話》,陳建名,仟寶兒企業有限公司,
92,14,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,台灣百年歌謠樂史彈唱見證,眭澔平,寰宇文化工作室,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,世紀歸零－現代台灣合唱經典,台北愛樂室內合唱團,財團法人台北愛樂文教基金會,
92,14,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,知心樂坊,熊育馨、金玉君、許鶴齡,知心樂坊,
92,14,傳統暨藝術音樂作品類-個人獎,特別貢獻獎,,從缺,,
