年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
94,16,流行音樂作品類-演唱類出版獎,最佳國語流行音樂演唱專輯獎,後來　我們都哭了,荒島網路科技股份有限公司,荒島網路科技股份有限公司
94,16,流行音樂作品類-演唱類出版獎,最佳台語流行音樂演唱專輯獎,江蕙-愛著啊,亞律音樂股份有限公司,亞律音樂股份有限公司
94,16,流行音樂作品類-演唱類出版獎,最佳客語流行音樂演唱專輯獎,臨暗,大大樹音樂圖像,大大樹音樂圖像
94,16,流行音樂作品類-演唱類出版獎,最佳原住民語流行音樂演唱專輯獎,山上的百靈鳥,亞洲唱片有限公司,亞洲唱片有限公司
94,16,流行音樂作品類-演唱類出版獎,最佳流行音樂演奏專輯獎,夢行愛琴海,辰宇媒體文化事業有限公司,辰宇媒體文化事業有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳音樂錄影帶導演獎,第一百零一個答案《又寂寞又美麗》,張時霖,香港商維京百代音樂事業股份有限公司台灣分公司
94,16,流行音樂作品類-演唱類個人獎,最佳作曲人獎,親愛的寶貝/【走風的人】,王宏恩、鍾成虎,破鑼嗓子音樂有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳作詞人獎,臨暗《臨暗》,鍾永豐,大大樹音樂圖像
94,16,流行音樂作品類-演唱類個人獎,最佳編曲人獎,美麗島《美麗島》,羅大佑、朱敬然、陳彥江,大右音樂事業有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳專輯製作人獎,後來　我們都哭了,陳珊妮,荒島網路科技股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳國語男演唱人獎,黑的意念,黃立行,香港商維京百代音樂事業股份有限公司台灣分公司
94,16,流行音樂作品類-演唱類個人獎,最佳台語男演唱人獎,情難忘,王識賢,華特國際音樂股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳國語女演唱人獎,孫燕姿 Stefanie同名專輯,孫燕姿,華納國際音樂股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳台語女演唱人獎,愛到坎站,孫淑媚,大旗製作股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳客語演唱人獎,遠方的鼓聲,湯運煥(東東),隆運行
94,16,流行音樂作品類-演唱類個人獎,最佳樂團獎,臨暗,生祥與瓦窯坑３,大大樹音樂圖像
94,16,流行音樂作品類-演唱類個人獎,最佳重唱組合獎,就是紅光輝全紀錄,動力火車,華研國際音樂股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳國語演唱新人獎,F.I.R.飛兒樂團同名專輯,F.I.R.飛兒樂團,華納國際音樂股份有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳客語演唱新人獎,靚細妹,徐筱寧,揚笙文化傳播有限公司
94,16,流行音樂作品類-演唱類個人獎,最佳原住民語演唱新人獎,飛‧回家,阿飛,夏黎寶工作室
94,16,傳統暨藝術音樂作品類-出版獎,最佳古典音樂專輯獎,木笛的新衣─高雄市青少年木笛團2004年專輯,高雄市青少年木笛合奏團,高雄市青少年木笛合奏團
94,16,傳統暨藝術音樂作品類-出版獎,最佳民族樂曲專輯獎,誰在山上唱歌,風潮有聲出版有限公司,風潮有聲出版有限公司
94,16,傳統暨藝術音樂作品類-出版獎,最佳戲曲曲藝專輯獎,沒大沒小說相聲,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
94,16,傳統暨藝術音樂作品類-出版獎,最佳兒童樂曲專輯獎,年來說故事,風潮有聲出版有限公司,風潮有聲出版有限公司
94,16,傳統暨藝術音樂作品類-出版獎,最佳宗教音樂專輯獎,大寶法王在菩提迦耶,源動力文化發展事業有限公司,源動力文化發展事業有限公司
94,16,傳統暨藝術音樂作品類-出版獎,最佳跨界音樂專輯獎,水事紀,風潮有聲出版有限公司,風潮有聲出版有限公司
94,16,傳統暨藝術音樂作品類-個人獎,最佳作曲人獎,「號聲響起」錢南章第一號交響曲《號聲響起-錢南章第一號交響曲》,錢南章,財團法人台北愛樂文教基金會
94,16,傳統暨藝術音樂作品類-個人獎,最佳作詞人獎,鹿港懷古【施瑞樓的詩吟世界-百家春】,施文炳,上揚國際股份有限公司
94,16,傳統暨藝術音樂作品類-個人獎,最佳專輯製作人獎,絲竹傳奇,王正平、王振宇,金革科技股份有限公司
94,16,傳統暨藝術音樂作品類-個人獎,最佳演唱獎,誰在山上唱歌,太平國小布農兒童合唱團,風潮有聲出版有限公司
94,16,傳統暨藝術音樂作品類-個人獎,最佳演奏獎,洛神組曲-曹丕與甄宓,臺北市立國樂團,如是我聞文化股份有限公司
94,16,傳統暨藝術音樂作品類-個人獎,特別貢獻獎,,吳楚楚先生,
