年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
100,22,出版獎,最佳民族音樂專輯獎,臺灣四季,繆斯藝術文化有限公司,繆斯藝術文化有限公司
100,22,出版獎,最佳戲曲曲藝專輯獎,從缺,,
100,22,出版獎,最佳傳統歌樂專輯獎,尋回失落的印記,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳古典音樂專輯獎,你知道的‧陳威稜與單簧管的6個漫遊,雅砌音樂有限公司,雅砌音樂有限公司
100,22,出版獎,最佳兒童音樂專輯獎,月光華華,吉聲影視音有限公司,吉聲影視音有限公司
100,22,出版獎,最佳宗教音樂專輯獎,至好朋友就是耶穌,福爾摩沙合唱團,福爾摩沙合唱團
100,22,出版獎,最佳跨界音樂專輯獎,失落的環節The Missing Link,世界軌跡樂團,世界軌跡樂團
100,22,個人獎,最佳作曲人獎,射日《前進的節奏》,張瓊櫻,風潮音樂國際股份有限公司
100,22,個人獎,最佳作詞人獎,春秋配《我一直聽見自己的笙音》,林夕,大熊星國際多媒體股份有限公司
100,22,個人獎,最佳編曲人獎,塔玲瓏《我一直聽見自己的笙音》,陳彤,大熊星國際多媒體股份有限公司
100,22,個人獎,最佳專輯製作人獎,失落的環節The Missing Link,吳馬丁Martijn Vanbuel,世界軌跡樂團
100,22,個人獎,最佳傳統音樂詮釋獎,霧來了！世界的聲脈,布農山地傳統音樂團,參拾柒度製作有限公司
100,22,個人獎,最佳演唱獎,春風,周文彬、游宜群,風潮音樂國際股份有限公司
100,22,個人獎,最佳演奏獎,陳毓襄 珍愛的蕭邦,陳毓襄,奇美發展文化事業有限公司
100,22,技術類個人獎,最佳專輯包裝獎,心花兒開滿年,高鵬翔,繆斯藝術文化有限公司
100,22,評審團獎,評審團獎,送客傳家寶,賴碧霞女士（演唱者）,
100,22,特別貢獻獎,特別貢獻獎,,蕭泰然先生,
