年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演
100,22,演唱類出版獎,最佳年度歌曲獎,給自己的歌《南[下]專線》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,
100,22,演唱類出版獎,最佳國語專輯獎,跨時代,杰威爾音樂有限公司,杰威爾音樂有限公司,
100,22,演唱類出版獎,最佳台語專輯獎,當時欲嫁,阿爾發音樂股份有限公司,阿爾發音樂股份有限公司,
100,22,演唱類出版獎,最佳客語專輯獎,獨1無2 反串客,吉聲影視音有限公司,吉聲影視音有限公司,
100,22,演唱類出版獎,最佳原住民語專輯獎,Suming舒米恩首張個人創作專輯,彎的音樂有限公司,彎的音樂有限公司,
100,22,演唱類出版獎,最佳音樂錄影帶獎,寂寞寂寞就好《To Hebe》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,導演：徐筠軒
100,22,演唱類個人獎,最佳作曲人獎,給自己的歌《南[下]專線》,李宗盛＠縱貫線,滾石國際音樂股份有限公司,
100,22,演唱類個人獎,最佳作詞人獎,給自己的歌《南[下]專線》,李宗盛＠縱貫線,滾石國際音樂股份有限公司,
100,22,演唱類個人獎,最佳編曲人獎,免費教學錄影帶《跨時代》,蔡科俊Again,杰威爾音樂有限公司,
100,22,演唱類個人獎,最佳專輯製作人獎,戀花,洪敬堯,台灣索尼音樂娛樂股份有限公司,
100,22,演唱類個人獎,最佳單曲製作人獎,LOVE ！《To Hebe》,王治平,華研國際音樂股份有限公司,
100,22,演唱類個人獎,最佳國語男歌手獎,跨時代,周杰倫,杰威爾音樂有限公司,
100,22,演唱類個人獎,最佳台語男歌手獎,天地,黃文星,金牌大風音樂文化股份有限公司,
100,22,演唱類個人獎,最佳國語女歌手獎,寶貝,莫文蔚,環球國際唱片股份有限公司,
100,22,演唱類個人獎,最佳台語女歌手獎,黃妃 相思聲聲,黃妃,無非文化有限公司,
100,22,演唱類個人獎,最佳客語歌手獎,獨1無2 反串客,欒克勇,吉聲影視音有限公司,
100,22,演唱類個人獎,最佳原住民語歌手獎,百年排灣 風華再現 排灣族頭目林廣財專輯,林廣財,飛魚雲豹音樂工團,
100,22,演唱類個人獎,最佳樂團獎,MATZKA,MATZKA(Matzka、Sakinu阿輝、Mavaliw阿勝、Nanwan阿修) ,有凰音樂股份有限公司,
100,22,演唱類個人獎,最佳演唱組合獎,万凸3,大嘴巴(愛紗、懷秋、MC40、DJ宗華) ,環球國際唱片股份有限公司,
100,22,演唱類個人獎,最佳新人獎,韋禮安首張同名全創作專輯,韋禮安,福茂唱片音樂股份有限公司,
100,22,演奏類出版獎,最佳專輯獎,無限融合黨TIMELESS FUSION PARTY,威幅音樂有限公司,威幅音樂有限公司,
100,22,演奏類個人獎,最佳專輯製作人獎,第36個故事電影原聲音樂大碟她的改變,雷光夏、侯志堅,積木影像製作有限公司,
100,22,演奏類個人獎,最佳作曲人獎,這就是城市《第36個故事電影原聲音樂大碟她的改變》,侯志堅,積木影像製作有限公司,
100,22,技術類個人獎,最佳專輯包裝獎,Kiss Your Eyes,劉悅德,前衛花園股份有限公司,
100,22,評審團獎,評審團獎,,從缺,,
100,22,特別貢獻獎,特別貢獻獎,,黃敏（黃東焜）,,
