年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
105,27,演唱類出版獎,最佳年度歌曲獎,不要放棄Aka pisawad（母語版）《太陽的孩子 Wawa No Cidal 電影原聲帶》,舒米恩工作室,舒米恩工作室,舒米恩・魯碧
105,27,演唱類出版獎,最佳國語專輯獎,冬 未了,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類出版獎,最佳台語專輯獎,古倫美亞,喜歡唱片股份有限公司,喜歡唱片股份有限公司,陳建瑋
105,27,演唱類出版獎,最佳客語專輯獎,異鄉人,有料音樂有限公司,有料音樂有限公司,黃子軒
105,27,演唱類出版獎,最佳原住民語專輯獎,洄游,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,吳昊恩
105,27,演唱類出版獎,最佳音樂錄影帶獎,如同悲傷被下載了兩次《如同悲傷被下載了兩次》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,談宗藩
105,27,演唱類個人獎,最佳作曲人獎,不為誰而作的歌《實驗專輯 和自己對話》,林俊傑,華納國際音樂股份有限公司,林俊傑
105,27,演唱類個人獎,最佳作詞人獎,他舉起右手點名《冬 未了》,吳青峰,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳編曲人獎,痛快的哀艷《冬 未了》,蘇打綠、林暐哲,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳專輯製作人獎,冬 未了,林暐哲,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳單曲製作人獎,大齡女子《大齡女子》,陳建騏,金牌大風音樂文化股份有限公司,彭佳慧
105,27,演唱類個人獎,最佳國語男歌手獎,實驗專輯 和自己對話,林俊傑,華納國際音樂股份有限公司,林俊傑
105,27,演唱類個人獎,最佳國語女歌手獎,大齡女子,彭佳慧,金牌大風音樂文化股份有限公司,彭佳慧
105,27,演唱類個人獎,最佳台語男歌手獎,古倫美亞,陳建瑋,喜歡唱片股份有限公司,陳建瑋
105,27,演唱類個人獎,最佳台語女歌手獎,黃妃-無字天書,黃妃,華特國際音樂股份有限公司,黃妃
105,27,演唱類個人獎,最佳客語歌手獎,驚喜時刻,羅文裕,上行娛樂股份有限公司,羅文裕
105,27,演唱類個人獎,最佳原住民語歌手獎,古老的透明,巴賴(高仲杰),木梯創意工作室有限公司,巴賴(高仲杰)
105,27,演唱類個人獎,最佳樂團獎,冬 未了,蘇打綠:吳青峰、謝馨儀、劉家凱、何景揚、龔鈺祺、史俊威,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳演唱組合獎,張三李四,張三李四:張錫安、李百罡、黃昺翔、馬卲權,安樂茂思國際事業有限公司,張三李四
105,27,演唱類個人獎,最佳新人獎,謝震廷/ 查理 PROGRESS REPORTS,謝震廷,十全媒體娛樂行銷股份有限公司,謝震廷
105,27,演奏類出版獎,最佳專輯獎,Simple Life,安玓音服文化有限公司,安玓音服文化有限公司,楊曉恩、Lou Rainone、林煒盛、落合誠治
105,27,演奏類個人獎,最佳專輯製作人獎,刺客聶隱娘電影原聲專輯,林強,相信音樂國際股份有限公司,無
105,27,演奏類個人獎,最佳作曲人獎,高鐵小旅行《聽見 黃裕翔》,黃裕翔,華研國際音樂股份有限公司,黃裕翔
105,27,技術類個人獎,最佳專輯包裝獎,一切不滅定律,十一音像有限公司,十一音像有限公司,林緯銘 Weiming Lin
105,27,技術類出版獎,最佳演唱錄音專輯獎,光凍,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,主要錄音人員：李游、竇如意、張博、顏仲坤／主要混音人員：Howie、Joe Hirst／主要母帶後製人員：Ray Stuff
105,27,技術類出版獎,最佳演奏錄音專輯獎,[奇人密碼:古羅布之謎｜電影原聲帶,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,主要錄音人員：楊敏奇、李兆陽、吳榮恩、林孝親、朱敬然、陳以霖、柯宗佑、江松松、楊邦昊／主要混音人員：楊敏奇、Craig Burbidge、王俊傑(小K)、Simon Li／主要母帶後製人員：孫仲舒
105,27,評審團獎,評審團獎,,從缺,,
105,27,特別貢獻獎,特別貢獻獎,,黃鶯鶯,,
