年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演
108,30,演唱類出版獎, 年度專輯獎,最佳華語專輯獎,,,
108,30,演唱類出版獎, 年度專輯獎,最佳台語專輯獎,,,
108,30,演唱類出版獎, 年度專輯獎,最佳客語專輯獎,,,
108,30,演唱類出版獎, 年度專輯獎,最佳原住民語專輯獎,,,
108,30,演唱類出版獎,年度專輯獎,L.O.V.E.,環球國際唱片股份有限公司,環球國際唱片股份有限公司,陳奕迅
108,30,演唱類出版獎,年度歌曲獎,烏牛欄大護法-望天版《烏牛欄大護法-望天版》,衝組創玩有限公司,衝組創玩有限公司,閃靈、何韻詩
108,30,演唱類出版獎,年度歌曲獎,海裡睡人《L.O.V.E.》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,陳奕迅
108,30,演唱類出版獎,年度歌曲獎,玫瑰少年《Ugly Beauty》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,蔡依林
108,30,演唱類出版獎,年度歌曲獎,沙文《0》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,林憶蓮
108,30,演唱類出版獎,年度歌曲獎,十七《十七》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,S.H.E
108,30,演唱類出版獎,年度歌曲獎,新寫的舊歌《新寫的舊歌》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,李宗盛
108,30,演唱類出版獎,年度歌曲獎,浪流連《浪流連》,艾格普蘭特艾格有限公司,艾格普蘭特艾格有限公司,茄子蛋
108,30,演唱類出版獎,最佳國語專輯獎,愛麗絲 Where Are We Going ?,十全媒體娛樂行銷股份有限公司,十全媒體娛樂行銷股份有限公司,謝震廷
108,30,演唱類出版獎,最佳國語專輯獎,無病呻吟有情抒情,顏社企業有限公司,顏社企業有限公司,Leo王
108,30,演唱類出版獎,最佳國語專輯獎,垂直活著，水平留戀著。,百代唱片股份有限公司,百代唱片股份有限公司,艾怡良
108,30,演唱類出版獎,最佳國語專輯獎,希遊記,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,孫盛希
108,30,演唱類出版獎,最佳國語專輯獎,Ugly Beauty,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,蔡依林
108,30,演唱類出版獎,最佳國語專輯獎,ØZI The Album,新樂園音樂有限公司,新樂園音樂有限公司,ØZI
108,30,演唱類出版獎,最佳國語專輯獎,0,環球國際唱片股份有限公司,環球國際唱片股份有限公司,林憶蓮
108,30,演唱類出版獎,最佳台語專輯獎,政治,衝組創玩有限公司,衝組創玩有限公司,閃靈
108,30,演唱類出版獎,最佳台語專輯獎,露螺,藤音樂工作室,藤音樂工作室,江惠儀
108,30,演唱類出版獎,最佳台語專輯獎,查某囡仔,樂是達娛樂有限公司,樂是達娛樂有限公司,李千那
108,30,演唱類出版獎,最佳台語專輯獎,爵好 Jazz's Good!,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,官靈芝 Emily Kuan
108,30,演唱類出版獎,最佳台語專輯獎,溫一壺青春下酒,洗耳恭聽股份有限公司,洗耳恭聽股份有限公司,流氓阿德
108,30,演唱類出版獎,最佳台語專輯獎,暗網,人人有功練音樂工作室,人人有功練音樂工作室,大支
108,30,演唱類出版獎,最佳台語專輯獎,廖士賢 西部,角頭文化事業股份有限公司,角頭文化事業股份有限公司,廖士賢
108,30,演唱類出版獎,最佳客語專輯獎,漂移,黎歐創意有限公司,黎歐創意有限公司,徐哲緯、黃瑋傑、劉榮昌、葉鈺渟
108,30,演唱類出版獎,最佳客語專輯獎,轉Return&Restore,好痛音樂事業有限公司,好痛音樂事業有限公司,愛客樂iColor
108,30,演唱類出版獎,最佳客語專輯獎,落腳,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,羅思容
108,30,演唱類出版獎,最佳客語專輯獎,理所當然,無限美好文創娛樂有限公司,無限美好文創娛樂有限公司,楊淑喻
108,30,演唱類出版獎,最佳原住民語專輯獎,斯瓦細格,好哦工作室,好哦工作室,雅維·茉芮
108,30,演唱類出版獎,最佳原住民語專輯獎,思念,無限美好文創娛樂有限公司,無限美好文創娛樂有限公司,沐妮悠
108,30,演唱類出版獎,最佳原住民語專輯獎,VANGAV天窗,漢創文化股份有限公司,漢創文化股份有限公司,徹摩
108,30,演唱類出版獎,最佳原住民語專輯獎,原音呈現 阿美族複音傳唱,飛魚雲豹音樂工團,飛魚雲豹音樂工團,吳家祿、曾光復、王福來、楊拾妹、林榮妹、郭美玉
108,30,演唱類出版獎,最佳原住民語專輯獎,Ti Cemelesai Ata Salasaladj (阿新與他的朋友們),新式有限公司,新式有限公司,Kerekelj (沈昉禎)/Eleng (林瑋琪)
108,30,演唱類出版獎,最佳音樂錄影帶獎,Go Slow《Go Slow》,空氣腦唱片有限公司,空氣腦唱片有限公司,関山雄太
108,30,演唱類出版獎,最佳音樂錄影帶獎,烏牛欄大護法《政治》,衝組創玩有限公司,衝組創玩有限公司,博德、Mo
108,30,演唱類出版獎,最佳音樂錄影帶獎,十七《十七》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,陳奕仁
108,30,演唱類出版獎,最佳音樂錄影帶獎,Slow/Oriental《CASSA NOVA 半熟王子》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,Namso、Youkim
108,30,演唱類出版獎,最佳音樂錄影帶獎,十種自殺的方法《獲得》,亞洲通文創有限公司,亞洲通文創有限公司,黃明志
108,30,演唱類出版獎,最佳音樂錄影帶獎,台灣好《南機場人》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,陳昇
108,30,演唱類出版獎,最佳音樂錄影帶獎,Sabrina Don’t Get Married Again!《Modern Tragedy》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,Robert Youngblood
108,30,演唱類出版獎,最佳音樂錄影帶獎,怪美的《Ugly Beauty》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,陳奕仁
108,30,演唱類個人獎,最佳作曲人獎,傷害《沙發海》,陳綺貞,添翼創越工作室,陳綺貞
108,30,演唱類個人獎,最佳作曲人獎,Forever Young《垂直活著，水平留戀著。》,艾怡良,百代唱片股份有限公司,艾怡良
108,30,演唱類個人獎,最佳作曲人獎,遺書《我要給世界最悠長的濕吻》,蔡健雅,環球國際唱片股份有限公司,蔡健雅
108,30,演唱類個人獎,最佳作曲人獎,慢慢喜歡你《我們在中場相遇》,李榮浩,台灣索尼音樂娛樂股份有限公司,莫文蔚
108,30,演唱類個人獎,最佳作曲人獎,玉仔的心《玉仔的心》,鄭宜農,火氣音樂股份有限公司,鄭宜農
108,30,演唱類個人獎,最佳作詞人獎,烏牛欄大護法-望天版《烏牛欄大護法-望天版》,林昶佐,衝組創玩有限公司,閃靈、何韻詩
108,30,演唱類個人獎,最佳作詞人獎,雨晴《無歌之歌》,陳昇,滾石國際音樂股份有限公司,陳昇
108,30,演唱類個人獎,最佳作詞人獎,纖維《0》,小寒,環球國際唱片股份有限公司,林憶蓮
108,30,演唱類個人獎,最佳作詞人獎,新寫的舊歌《新寫的舊歌》,李宗盛,相信音樂國際股份有限公司,李宗盛
108,30,演唱類個人獎,最佳作詞人獎,知道《知道》,宋冬野,科科農場股份有限公司,宋冬野
108,30,演唱類個人獎,最佳編曲人獎,夢遊《希遊記》,鍾濰宇 Yu,滾石國際音樂股份有限公司,孫盛希
108,30,演唱類個人獎,最佳編曲人獎,人樣《希遊記》,孫盛希、陳君豪、林泓毅、許郁瑛、鍾濰宇,滾石國際音樂股份有限公司,孫盛希
108,30,演唱類個人獎,最佳編曲人獎,B.O.《ØZI The Album》,ØZI,新樂園音樂有限公司,ØZI
108,30,演唱類個人獎,最佳編曲人獎,遙遠的所在 Styx《廖士賢 西部》,尊室安,角頭文化事業股份有限公司,廖士賢
108,30,演唱類個人獎,最佳編曲人獎,魅惑《0》,常石磊,環球國際唱片股份有限公司,林憶蓮
108,30,演唱類個人獎,最佳編曲人獎,不開燈俱樂部BKD CLUB《都市病》,YELLOW,漢室音樂有限公司,YELLOW
108,30,演唱類個人獎,最佳專輯製作人獎,垂直活著，水平留戀著。,陳建騏,百代唱片股份有限公司,艾怡良
108,30,演唱類個人獎,最佳專輯製作人獎,L.O.V.E.,王雙駿,環球國際唱片股份有限公司,陳奕迅
108,30,演唱類個人獎,最佳專輯製作人獎,Nothing is Under Control,甯子達、岑寧兒,如此有限公司,岑寧兒
108,30,演唱類個人獎,最佳專輯製作人獎,Modern Tragedy,Linus of Hollywood、Joanna Wang、Andrew Page,台灣索尼音樂娛樂股份有限公司,王若琳
