年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
110,32,演唱類出版獎,年度專輯獎,最佳華語專輯獎,,,
110,32,演唱類出版獎,年度專輯獎,最佳台語專輯獎,,,
110,32,演唱類出版獎,年度專輯獎,最佳客語專輯獎,,,
110,32,演唱類出版獎,年度專輯獎,最佳原住民語專輯獎,,,
110,32,演唱類出版獎,年度歌曲獎,阿峰今天沒有來《給你們 Dear All》,何樂音樂有限公司,何樂音樂有限公司,萬芳
110,32,演唱類出版獎,年度歌曲獎,伯父《Outta Body靈魂出竅》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,瘦子E.SO
110,32,演唱類出版獎,年度歌曲獎,若是明仔載 feat. ?te 壞特《自本》,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,曹雅雯、?te 壞特
110,32,演唱類出版獎,年度歌曲獎,"在這座城市遺失了你《運氣來得若有似無【Easy Come, Easy Go】》",相信音樂國際股份有限公司,相信音樂國際股份有限公司,告五人
110,32,演唱類出版獎,年度歌曲獎,maava / 擁抱 / Embrace《得力量 pulu’em》,卡達德邦文化工作室,卡達德邦文化工作室,桑布伊
110,32,演唱類出版獎,年度歌曲獎,因為你 所以我《因為你 所以我(Because Of You)》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,五月天
110,32,演唱類出版獎,年度歌曲獎,刻在我心底的名字《刻在我心底的名字》,添翼創越工作室,添翼創越工作室,盧廣仲
110,32,演唱類出版獎,最佳華語專輯獎,給你們 Dear All,何樂音樂有限公司,何樂音樂有限公司,萬芳
110,32,演唱類出版獎,最佳華語專輯獎,出沒地帶 (Where Is SHI?),滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,孫盛希 Shi Shi
110,32,演唱類出版獎,最佳華語專輯獎,無人知曉,何樂音樂有限公司,何樂音樂有限公司,田馥甄
110,32,演唱類出版獎,最佳華語專輯獎,家常音樂,任性的人工作室,任性的人工作室,杜振熙
110,32,演唱類出版獎,最佳華語專輯獎,Sounds of My Life,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,韋禮安
110,32,演唱類出版獎,最佳華語專輯獎,十日彈,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,李泉
110,32,演唱類出版獎,最佳台語專輯獎,拾歌,何樂音樂有限公司,何樂音樂有限公司,許富凱
110,32,演唱類出版獎,最佳台語專輯獎,自本,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類出版獎,最佳台語專輯獎,有你的故事,洗耳恭聽股份有限公司,洗耳恭聽股份有限公司,青虫 aoi
110,32,演唱類出版獎,最佳台語專輯獎,共你惜惜,時代創藝企業有限公司,時代創藝企業有限公司,浩子
110,32,演唱類出版獎,最佳台語專輯獎,赤跤紳士,三十而立有限公司,三十而立有限公司,嬉班子樂團
110,32,演唱類出版獎,最佳台語專輯獎,上半場,好痛音樂事業有限公司,好痛音樂事業有限公司,張涵雅
110,32,演唱類出版獎,最佳客語專輯獎,Khah-lah Thien-thoì（卡拉電台）,騷思股份有限公司,騷思股份有限公司,Siàu-lú khah-lah（少女卡拉）
110,32,演唱類出版獎,最佳客語專輯獎,那三年,威德文化有限公司,威德文化有限公司,謝宇威
110,32,演唱類出版獎,最佳客語專輯獎,到底,三十而立有限公司,三十而立有限公司,春麵樂隊
110,32,演唱類出版獎,最佳客語專輯獎,當太陽升起時,夢?當然音樂股份有限公司,夢?當然音樂股份有限公司,羅文裕
110,32,演唱類出版獎,最佳客語專輯獎,阿民,科科農場股份有限公司,科科農場股份有限公司,九連真人
110,32,演唱類出版獎,最佳原住民語專輯獎,達卡鬧 / 流浪的Naluwan,好的創藝工作室,好的創藝工作室,達卡鬧
110,32,演唱類出版獎,最佳原住民語專輯獎,得力量 pulu’em,卡達德邦文化工作室,卡達德邦文化工作室,桑布伊
110,32,演唱類出版獎,最佳原住民語專輯獎,akokey 親愛的你好嗎,中華民國台灣原住民族文化發展協會,中華民國台灣原住民族文化發展協會,謝永泉
110,32,演唱類出版獎,最佳原住民語專輯獎,《žž》,那屋瓦文化有限公司,那屋瓦文化有限公司,žž瑋琪
110,32,演唱類出版獎,最佳原住民語專輯獎,海女 Lady of the ocean,共勉之企業號有限公司,共勉之企業號有限公司,漂流出口
110,32,演唱類出版獎,最佳MV獎,飢餓時代《浮世擊》,否極泰來音樂股份有限公司,否極泰來音樂股份有限公司,章郡
110,32,演唱類出版獎,最佳MV獎,莫問-搖滾北管版《山川壯麗》,三川娛樂有限公司,三川娛樂有限公司,廖珮妤、唐治中
110,32,演唱類出版獎,最佳MV獎,舞女《Bedtime Story》,街聲股份有限公司,街聲股份有限公司,葉依柔
110,32,演唱類出版獎,最佳MV獎,家常音樂《家常音樂》,任性的人工作室,任性的人工作室,王宗欣
110,32,演唱類出版獎,最佳MV獎,夜遊神《阿民》,科科農場股份有限公司,科科農場股份有限公司,曾婉遒
110,32,演唱類出版獎,最佳MV獎,Candlelight (feat. OHHYUK)《SOFT STORM 柔性風暴》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,DQM
110,32,演唱類出版獎,最佳MV獎,直到我遇見了你《如果你也愛我就好了》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,黃婕妤
110,32,演唱類出版獎,最佳MV獎,一一《無人知曉》,何樂音樂有限公司,何樂音樂有限公司,陳奕仁
110,32,演唱類個人獎,最佳作曲人獎,鹹汫《自本》,曹雅雯、鍾興民,滾石國際音樂股份有限公司,曹雅雯
110,32,演唱類個人獎,最佳作曲人獎,安和《面面》,HUSH,相信音樂國際股份有限公司,蘇慧倫
110,32,演唱類個人獎,最佳作曲人獎,"在這座城市遺失了你《運氣來得若有似無【Easy Come, Easy Go】》",潘雲安,相信音樂國際股份有限公司,告五人
110,32,演唱類個人獎,最佳作曲人獎,maava / 擁抱 / Embrace《得力量 pulu’em》,桑布伊,卡達德邦文化工作室,桑布伊
110,32,演唱類個人獎,最佳作曲人獎,I Wrote a Song for You《Sounds of My Life》,WeiBird 韋禮安,台灣索尼音樂娛樂股份有限公司,韋禮安
