年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
84,6,最佳方言歌曲男演唱人獎,〔今夜又擱為你醉〕,李茂山,上華國際企業股份有限公司
84,6,最佳方言歌曲男演唱人獎,〔真心換絕情〕,吳宗憲,神采製作有限公司
84,6,最佳方言歌曲男演唱人獎,〔夢中的愛〕,柳昭全（王建傑）,興來唱片有限公司
84,6,最佳方言歌曲男演唱人獎,〔糊塗浪子心〕,黃文鴻（袁小迪）,名冠唱片錄音帶出版社
84,6,最佳方言歌曲男演唱人獎,〔先苦而後甜〕,謝茂雄（謝雷）,歌林股份有限公司
84,6,最佳方言歌曲女演唱人獎,〔情鎖〕,李美雲（李靜美）,上揚有聲出版有限公司
84,6,最佳方言歌曲女演唱人獎,〔為錢賭性命〕,李華苓（李翊君）,上華國際企業股份有限公司
84,6,最佳方言歌曲女演唱人獎,〔擱醉落去〕,林淑容,歌林股份有限公司
84,6,最佳方言歌曲女演唱人獎,〔受傷的心〕,黃明珠（黃乙玲）,神采製作有限公司
84,6,最佳方言歌曲女演唱人獎,〔想厝的心情〕,張秀卿,歌林股份有限公司
84,6,最佳國語歌曲作詞人獎,忘情水,李安修,飛碟企業股份有限公司
84,6,最佳國語歌曲作詞人獎,希望,李宗盛,滾石國際股份有限公司
84,6,最佳國語歌曲作詞人獎,走過紅塵,胡曉雯,騰祥唱片有限公司
84,6,最佳國語歌曲作詞人獎,最浪漫的事,姚若龍,音樂田有聲出版社有限公司
84,6,最佳國語歌曲作詞人獎,感恩的心,陳樂融,飛碟企業股份有限公司
84,6,最佳方言歌曲作詞人獎,人生露水,王志誠（路寒袖）,水晶有聲出版社
84,6,最佳方言歌曲作詞人獎,畫眉,王志誠（路寒袖）,水晶有聲出版社
84,6,最佳方言歌曲作詞人獎,情鎖,王志誠（路寒袖）,上揚有聲出版有限公司
84,6,最佳方言歌曲作詞人獎,菊花開的時,李坤城,索引有聲出版有限公司
84,6,最佳方言歌曲作詞人獎,阿爸的西門町,李坤城,歌林股份有限公司
84,6,最佳演唱專輯獎,〔左右張清芳〕,點將股份有限公司,點將股份有限公司
84,6,最佳演唱專輯獎,〔抱緊一點〕,巨石音樂有限公司,巨石音樂有限公司
84,6,最佳演唱專輯獎,〔苦酒的探戈〕,點將股份有限公司,點將股份有限公司
84,6,最佳演唱專輯獎,〔現在以後〕,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
84,6,最佳演唱專輯獎,〔戲歌〕,巨石音樂有限公司,巨石音樂有限公司
84,6,最佳演唱專輯製作人獎,〔最愛是你〕,伍思凱,點將股份有限公司
84,6,最佳演唱專輯製作人獎,〔不捨〕,李宗盛,滾石國際股份有限公司
84,6,最佳演唱專輯製作人獎,〔擁抱〕,吳大衛,飛碟企業股份有限公司
84,6,最佳演唱專輯製作人獎,〔左右張清芳〕,曹俊鴻,點將股份有限公司
84,6,最佳演唱專輯製作人獎,〔張宇專輯－用心良苦〕,蔡宗政,歌林股份有限公司
84,6,最佳演唱組獎,,凡人二重唱（莫凡、袁惟仁）,歌林股份有限公司
84,6,最佳演唱組獎,,南方二重唱（閻宗玉、林明樺）,瑞星唱片有限公司
84,6,最佳演唱組獎,,優客李林（林志炫、李驥）,點將股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,我是誰,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,陪你到天亮,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,救姻緣,上華國際企業股份有限公司,上華國際企業股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,新感情舊回憶,點將股份有限公司,點將股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,愛江山更愛美人,滾石國際股份有限公司,滾石國際股份有限公司
84,6,新人獎,〔無情人有情天〕,陳文翠（陳亞蘭）,點將股份有限公司
84,6,新人獎,〔不要讓我再愛你再想你〕,陳柏菁（陳震）,藍與白唱片有限公司
84,6,新人獎,〔水中月〕,陳瑞儀（陳瑞洪）,歌林股份有限公司
84,6,最佳作曲人獎,忘我的愛,張弘毅,全美有聲出版社
84,6,最佳作曲人獎,我的夢,張弘毅,全美有聲出版社
84,6,最佳作曲人獎,等待冬天,詹宏達,水晶有聲出版社
84,6,最佳作曲人獎,大漢汝落知,詹宏達,水晶有聲出版社
84,6,最佳作曲人獎,雞婆三０一,劉福助,麗歌唱片廠股份有限公司
84,6,最佳編曲人獎,好久,張弘毅,寶麗金唱片股份有限公司
84,6,最佳編曲人獎,我的夢,張弘毅,全美有聲出版社
