年度,屆別,獎項名稱,得獎作品,得獎單位/者,報名單位
85,7,最佳年度歌曲獎,蝴蝶夢飛,吉馬唱片錄音帶有限公司,吉馬唱片錄音帶有限公司
85,7,最佳國語歌曲作詞人獎,永遠相信,姚若龍,台灣滾石唱片股份有限公司
85,7,最佳方言歌曲作詞人獎,思念的歌,王志誠（路寒袖）,科藝百代股份有限公司
85,7,最佳作曲人獎,歡聚歌,陳志昇（陳昇）,台灣滾石唱片股份有限公司
85,7,最佳編曲人獎,歡聚歌,王繼康,台灣滾石唱片股份有限公司
85,7,最佳單曲歌唱錄影帶影片獎,看未來有什麼不一樣,點將股份有限公司,點將股份有限公司
85,7,最佳錄音獎,〔天空〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
85,7,最佳演唱專輯獎,〔晚安曲〕,飛碟企業股份有限公司,飛碟企業股份有限公司
85,7,最佳演奏專輯獎,〔紅玫瑰與白玫瑰〕,台灣滾石唱片股份有限公司,台灣滾石唱片股份有限公司
85,7,最佳演唱專輯製作人獎,〔愛的一生〕,洪榮宏、洪敬堯,東達唱片股份有限公司
85,7,最佳演奏專輯製作人獎,〔我和春天有個約會〕,蔡興國,上華國際企業股份有限公司
85,7,最佳國語歌曲男演唱人獎,〔寬容〕,張信哲,科藝百代股份有限公司
85,7,最佳方言歌曲男演唱人獎,〔若是我回頭來牽你的手〕,洪榮宏,東達唱片股份有限公司
85,7,最佳國語歌曲女演唱人獎,〔生生世世〕,陳淑樺,台灣滾石唱片股份有限公司
85,7,最佳方言歌曲女演唱人獎,〔酒是舞伴你是性命〕,曾小萍（曾心梅）,鄉城唱片股份有限公司
85,7,最佳演唱組獎,〔秋意上心頭〕,南方二重唱（閻宗玉、林明樺）,瑞星唱片有限公司
85,7,新人獎,〔真心變無心〕,劉惠玉（劉依純）,台灣滾石唱片股份有限公司
85,7,特別獎,,鄧麗君小姐,
